index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
1,0,0,0,0.5,0,0,0,0,0,0,11.3852,6.65775,159.305,0,0,0,0,0,0
2,0.00903614,2.2872e-05,1.31548e-05,0.499924,-3.6194e-07,-0.000807034,0.000464164,0,0,0,10.8436,6.01744,158.97,-0.0120287,-0.00292734,0.0179192,0,0,0
3,0.0180723,8.93882e-05,5.01385e-05,0.499697,-3.3696e-06,-0.00315278,0.00176843,0,0,0,9.38206,4.29286,158.233,-0.0163901,-0.00387645,0.0364153,0,0,0
4,0.0271084,0.000193755,0.000104114,0.499314,-1.34474e-05,-0.00682921,0.00366972,0,0,0,7.25494,1.78347,157.204,-0.0146131,-0.00330299,0.054834,0,0,0
5,0.0361446,0.00032746,0.000165041,0.498771,-3.42779e-05,-0.0115308,0.00581151,0,0,0,4.71681,-1.21125,155.994,-0.00822634,-0.00166264,0.0725213,0,0,0
6,0.0451807,0.000480317,0.000220896,0.498065,-6.5311e-05,-0.0168917,0.00776788,0,0,0,2.02217,-4.39184,154.714,0.00124137,0.000588921,0.0888228,0,0,0
7,0.0542169,0.000641495,0.000258898,0.497189,-9.95994e-05,-0.022524,0.00908755,0,0,0,-0.574456,-7.45884,153.473,0.0122612,0.00299603,0.103084,0,0,0
8,0.063253,0.000800568,0.00026673,0.496139,-0.000123921,-0.0280542,0.00933779,0,0,0,-2.81855,-10.1128,152.383,0.0233045,0.005103,0.114652,0,0,0
9,0.0722892,0.000948547,0.000233761,0.49491,-0.000121304,-0.033161,0.00814806,0,0,0,-4.4556,-12.0542,151.554,0.0328424,0.00645418,0.122871,0,0,0
10,0.0813253,0.00107892,0.000152267,0.493499,-7.52135e-05,-0.0376118,0.00525325,0,0,0,-5.23108,-12.9836,151.098,0.0393461,0.00659387,0.127087,0,0,0
11,0.0903614,0.0011883,1.87094e-05,0.491906,2.59209e-05,-0.0412843,0.000537982,0,0,0,-5.47619,-12.5286,153.326,0.0414662,0.00512563,0.126759,0,0,0
12,0.0993976,0.00127494,-0.000164988,0.490142,0.000184991,-0.0441144,-0.00591946,0,0,0,-6.28876,-10.5892,162.263,0.0392767,0.00212321,0.122229,0,0,0
13,0.108434,0.00133559,-0.000391163,0.488243,0.000393788,-0.0459856,-0.0138391,0,0,0,-7.55522,-7.54186,176.343,0.0335306,-0.00211538,0.114267,0,0,0
14,0.11747,0.0013652,-0.000647638,0.486266,0.000632286,-0.046719,-0.0227827,0,0,0,-9.11496,-3.77423,193.805,0.024985,-0.00729074,0.103641,0,0,0
15,0.126506,0.00135751,-0.000919295,0.484279,0.000869925,-0.0460963,-0.0322098,0,0,0,-10.8074,0.325841,212.889,0.014397,-0.0131035,0.091121,0,0,0
16,0.135542,0.00130571,-0.00118966,0.482361,0.00106919,-0.0438846,-0.0415335,0,0,0,-12.4718,4.37053,231.834,0.0025239,-0.0192543,0.0774779,0,0,0
17,0.144578,0.00120312,-0.00144248,0.480587,0.0011914,-0.03986,-0.0501766,0,0,0,-13.9477,7.97202,248.878,-0.00987726,-0.0254437,0.0634813,0,0,0
18,0.153614,0.00104383,-0.00166333,0.479026,0.00120384,-0.033831,-0.0576273,0,0,0,-15.0744,10.7425,262.262,-0.0220493,-0.0313723,0.049901,0,0,0
19,0.162651,0.000823342,-0.00184114,0.47773,0.00108685,-0.0256613,-0.063495,0,0,0,-15.6913,12.2941,270.224,-0.0332351,-0.0367407,0.0375071,0,0,0
20,0.171687,0.00053928,-0.00196975,0.476731,0.000838838,-0.0152921,-0.0675613,0,0,0,-15.5925,12.3903,269.361,-0.0427056,-0.0412613,0.0270403,0,0,0
21,0.180723,0.000192196,-0.00204838,0.47602,0.000477226,-0.00276853,-0.0697995,0,0,0,-14.5602,11.61,252.385,-0.0502359,-0.044855,0.0187187,0,0,0
22,0.189759,-0.000213832,-0.00208001,0.475529,3.49508e-05,0.0117433,-0.0703222,0,0,0,-12.7929,10.2261,222.294,-0.056037,-0.0476235,0.0123078,0,0,0
23,0.198795,-0.000671752,-0.00207018,0.475138,-0.000446145,0.0279798,-0.0693368,0,0,0,-10.5312,8.43398,183.333,-0.0603347,-0.0496745,0.00755855,0,0,0
24,0.207831,-0.00117249,-0.00202606,0.474692,-0.000922945,0.0456166,-0.0671121,0,0,0,-8.01608,6.42909,139.749,-0.0633543,-0.0511156,0.00422159,0,0,0
25,0.216867,-0.00170595,-0.0019557,0.474015,-0.00135792,0.0643046,-0.0639471,0,0,0,-5.48814,4.40677,95.7885,-0.0653214,-0.0520543,0.00204772,0,0,0
26,0.225904,-0.00226197,-0.00186723,0.472931,-0.00172378,0.0837043,-0.0601407,0,0,0,-3.18814,2.56242,55.6977,-0.0664616,-0.0525985,0.000787702,0,0,0
27,0.23494,-0.00283133,-0.00176804,0.471279,-0.00200514,0.103517,-0.0559616,0,0,0,-1.35682,1.0914,23.7228,-0.0670004,-0.0528556,0.00019231,0,0,0
28,0.243976,-0.00340671,-0.00166402,0.468931,-0.00219686,0.123515,-0.05162,0,0,0,-0.234924,0.189096,4.11019,-0.0671633,-0.0529333,1.23078e-05,0,0,0
29,0.253012,-0.00398335,-0.00155864,0.46581,-0.0022992,0.14356,-0.0472439,-4.81799e-06,-1.74973e-06,2.7353e-06,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,0.431802,0.136069,2.29109
30,0.262048,-0.00455475,-0.00145143,0.461921,-0.00231025,0.163564,-0.0429168,-0.000308351,-0.000111983,0.000175059,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,6.22138,1.96108,32.9976
31,0.271084,-0.00509739,-0.00133515,0.457383,-0.00222113,0.183307,-0.0388551,-0.00165257,-0.000600158,0.000938207,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,16.9477,5.3442,89.8468
32,0.28012,-0.00556906,-0.00119649,0.45242,-0.00202618,0.202412,-0.0354543,-0.00481799,-0.00174973,0.0027353,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,30.2905,9.55633,160.487
33,0.289157,-0.00591686,-0.00101875,0.447312,-0.00173492,0.220418,-0.033228,-0.0105851,-0.00384416,0.00600945,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,43.9298,13.8684,232.566
34,0.298193,-0.00608669,-0.000784812,0.442345,-0.00137644,0.236883,-0.0327237,-0.0197345,-0.0071669,0.0112038,0,0,0,-0.0671744,-0.0529387,-4.16789e-13,55.5454,17.5512,293.731
