index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
1,0,0,0,0.5,0,0,0,0.1,-0.1,0,-59.4429,11.6972,132.929,0.1,0.1,0,0,0,0
2,0.00903614,-0.000120699,2.46697e-05,0.499872,-0.000362513,0.00233683,-0.00105161,0.1,-0.1,0,-58.5004,12.8616,134.296,0.0784331,0.0997198,0.0175121,0,0,0
3,0.0180723,-0.000479164,0.000103184,0.499492,-0.00143284,0.00917484,-0.00408687,0.1,-0.1,0,-55.9873,15.9897,137.931,0.0666167,0.0983533,0.0348949,0,0,0
4,0.0271084,-0.00106543,0.000247944,0.498876,-0.00316106,0.0200396,-0.00877767,0.1,-0.1,0,-52.3392,20.5379,143.205,0.0624595,0.096194,0.0516695,0,0,0
5,0.0361446,-0.0018649,0.000477148,0.498044,-0.00546378,0.0342325,-0.0146464,0.1,-0.1,0,-47.9919,25.9623,149.489,0.0638701,0.0935355,0.0673565,0,0,0
6,0.0451807,-0.00286012,0.000812571,0.497022,-0.00822158,0.0509128,-0.0211285,0.1,-0.1,0,-43.3811,31.7191,156.152,0.0687573,0.0906713,0.0814769,0,0,0
7,0.0542169,-0.00403257,0.00127735,0.495836,-0.01128,0.0691798,-0.0276337,0.1,-0.1,0,-38.9423,37.2646,162.567,0.0750297,0.0878951,0.0935516,0,0,0
8,0.063253,-0.00536441,0.00189375,0.494512,-0.0144588,0.0881551,-0.0336061,0.1,-0.1,0,-35.1114,42.055,168.104,0.0805961,0.0855004,0.103101,0,0,0
9,0.0722892,-0.00684032,0.00268095,0.493073,-0.0175709,0.107065,-0.0385825,0.1,-0.1,0,-32.3239,45.5466,172.134,0.0833651,0.0837808,0.109647,0,0,0
10,0.0813253,-0.00844919,0.00365286,0.491533,-0.0204518,0.125322,-0.0422514,0.1,-0.1,0,-31.0155,47.1954,174.028,0.0812453,0.0830298,0.11271,0,0,0
11,0.0903614,-0.0101857,0.00481641,0.489903,-0.0229905,0.142585,-0.0444996,0.1,-0.1,0,-31.2553,47.3374,175.199,0.0724109,0.083501,0.111899,0,0,0
12,0.0993976,-0.0120505,0.00617334,0.488189,-0.025136,0.158714,-0.0453969,0.1,-0.1,0,-32.323,47.6402,179.444,0.0571425,0.0851297,0.107534,0,0,0
13,0.108434,-0.0140475,0.00772488,0.486408,-0.0268701,0.17361,-0.045112,0.1,-0.1,0,-33.9835,48.1116,186.088,0.0367256,0.0876995,0.100271,0,0,0
14,0.11747,-0.0161836,0.0094729,0.484587,-0.0281978,0.187165,-0.0438783,0.1,-0.1,0,-36.0266,48.6917,194.287,0.0124517,0.0909931,0.0907693,0,0,0
15,0.126506,-0.0184669,0.0114198,0.482759,-0.0291451,0.19925,-0.0419801,0.1,-0.1,0,-38.2419,49.3207,203.196,-0.0143876,0.0947933,0.0796865,0,0,0
16,0.135542,-0.0209063,0.013568,0.480959,-0.0297557,0.209717,-0.0397376,0.1,-0.1,0,-40.419,49.9385,211.971,-0.0425007,0.0988826,0.0676818,0,0,0
17,0.144578,-0.0235105,0.01592,0.479223,-0.0300856,0.218391,-0.0374908,0.1,-0.1,0,-42.3476,50.4853,219.766,-0.070596,0.103044,0.0554137,0,0,0
18,0.153614,-0.0262873,0.018478,0.477582,-0.030196,0.225075,-0.0355807,0.1,-0.1,0,-43.8174,50.9012,225.738,-0.0973818,0.10706,0.0435408,0,0,0
19,0.162651,-0.0292426,0.0212438,0.47606,-0.0301449,0.229549,-0.0343277,0.1,-0.1,0,-44.618,51.1261,229.041,-0.121567,0.110713,0.0327218,0,0,0
20,0.171687,-0.0323792,0.0242177,0.474668,-0.0299775,0.231589,-0.0340078,0.1,-0.1,0,-44.229,50.6108,227.056,-0.14191,0.113794,0.0235903,0,0,0
21,0.180723,-0.0356946,0.0273964,0.473393,-0.0297222,0.231008,-0.0348305,0.1,-0.1,0,-41.3004,47.2659,212.098,-0.158081,0.116244,0.0163304,0,0,0
22,0.189759,-0.0391772,0.0307664,0.472176,-0.0293983,0.227758,-0.0369233,0.1,-0.1,0,-36.287,41.5324,186.4,-0.170539,0.118131,0.0107375,0,0,0
23,0.198795,-0.042807,0.0343048,0.470914,-0.0290156,0.221959,-0.0403183,0.1,-0.1,0,-29.8717,34.1923,153.476,-0.179768,0.119529,0.00659417,0,0,0
24,0.207831,-0.0465583,0.0379823,0.469475,-0.0285732,0.213886,-0.0449448,0.1,-0.1,0,-22.7374,26.0276,116.84,-0.186253,0.120511,0.00368297,0,0,0
25,0.216867,-0.0504024,0.0417661,0.467712,-0.0280622,0.203943,-0.0506355,0.1,-0.1,0,-15.5669,17.8203,80.0028,-0.190478,0.121151,0.00178645,0,0,0
26,0.225904,-0.0543104,0.045623,0.465476,-0.0274705,0.192617,-0.0571466,0.1,-0.1,0,-9.04302,10.3524,46.4794,-0.192926,0.121522,0.000687201,0,0,0
27,0.23494,-0.0582563,0.0495233,0.462635,-0.026788,0.18042,-0.0641932,0.1,-0.1,0,-3.84856,4.40596,19.7825,-0.194083,0.121698,0.000167774,0,0,0
28,0.243976,-0.0622193,0.0534432,0.45908,-0.0260106,0.167808,-0.0715026,0.1,-0.1,0,-0.666349,0.762879,3.42544,-0.194433,0.121751,1.07375e-05,0,0,0
29,0.253012,-0.0661866,0.0573678,0.454748,-0.0251385,0.155098,-0.078883,0.0999937,-0.100002,2.40389e-06,0,0,0,-0.194457,0.121754,-2.59789e-12,0.246974,-0.324701,2.37143
30,0.262048,-0.0701512,0.061289,0.449647,-0.0241683,0.142545,-0.0862771,0.0995947,-0.1001,0.000153849,0,0,0,-0.194457,0.121754,-2.59789e-12,3.55816,-4.67778,34.1641
31,0.271084,-0.0740993,0.0651885,0.443903,-0.0230844,0.130841,-0.0937296,0.0978277,-0.100533,0.000824536,0,0,0,-0.194457,0.121754,-2.59789e-12,9.692,-12.7411,93.0549
32,0.28012,-0.0780069,0.0690347,0.437748,-0.0218677,0.121138,-0.101392,0.0936667,-0.101555,0.00240389,0,0,0,-0.194457,0.121754,-2.59789e-12,17.3207,-22.7682,166.29
33,0.289157,-0.0818436,0.0727877,0.431472,-0.0205104,0.114774,-0.109542,0.0860857,-0.103417,0.00528136,0,0,0,-0.194457,0.121754,-2.59789e-12,25.1164,-33.0127,241.117
34,0.298193,-0.0855786,0.0764071,0.425372,-0.0190269,0.112988,-0.118565,0.0740588,-0.106371,0.00984635,0,0,0,-0.194457,0.121754,-2.59789e-12,31.7514,-41.7285,304.781
35,0.307229,-0.0891857,0.0798583,0.419699,-0.0174645,0.116684,-0.128907,0.0565599,-0.110668,0.0164883,0,0,0,-0.194457,0.121754,-2.59789e-12,35.8979,-47.1689,344.53
36,0.316265,-0.0926482,0.0831205,0.414608,-0.0159126,0.126251,-0.140974,0.0326034,-0.116541,0.0255779,0,0,0,-0.194457,0.121754,-2.59789e-12,37.0506,-47.3551,351.09
37,0.325301,-0.0959577,0.0861944,0.410143,-0.0145069,0.14144,-0.154895,0.00263338,-0.123506,0.0368227,0,0,0,-0.194457,0.121754,-2.59789e-12,40.8944,-40.0359,346.354
38,0.334337,-0.0990982,0.0891087,0.406288,-0.0134158,0.161417,-0.170139,-0.0311293,-0.130191,0.049106,0,0,0,-0.194457,0.121754,-2.59789e-12,47.6298,-27.2037,338.067
39,0.343373,-0.102043,0.0919138,0.40301,-0.0127752,0.184959,-0.185574,-0.0663524,-0.135167,0.0612595,0,0,0,-0.194457,0.121754,-2.59789e-12,55.84,-11.5592,327.967
40,0.35241,-0.10476,0.0946719,0.400271,-0.0126194,0.210672,-0.199737,-0.100704,-0.137007,0.0721149,0,0,0,-0.194457,0.121754,-2.59789e-12,64.1082,4.197,317.798
41,0.361446,-0.107217,0.0974452,0.39803,-0.0128496,0.237206,-0.211133,-0.131851,-0.134282,0.0805039,0,0,0,-0.194457,0.121754,-2.59789e-12,71.0175,17.3642,309.301
42,0.370482,-0.109385,0.100286,0.396252,-0.0132548,0.263448,-0.218532,-0.157463,-0.125564,0.0852582,0,0,0,-0.194457,0.121754,-2.59789e-12,75.1511,25.2419,304.216
43,0.379518,-0.111248,0.103225,0.394919,-0.0135801,0.288692,-0.221276,-0.175288,-0.109499,0.0852582,0,0,0,-0.194457,0.121754,-2.59789e-12,75.9154,25.9541,303.829
44,0.388554,-0.112802,0.106267,0.394027,-0.0136038,0.312643,-0.219417,-0.184954,-0.0864228,0.0805039,0,0,0,-0.194457,0.121754,-2.59789e-12,77.2003,23.1264,306.177
45,0.39759,-0.11404,0.109403,0.393585,-0.0131589,0.33509,-0.213458,-0.187965,-0.058362,0.0721149,0,0,0,-0.194457,0.121754,-2.59789e-12,79.3478,18.4001,310.106
