index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1,x2,y2,z2,fx2,fy2,fz2,x3,y3,z3,fx3,fy3,fz3
1,0,0,0,0.5,0,0,0,0.34,-0.19,0,-87.6304,24.8367,138.065,0.34,0.19,0,-48.207,3.55906,64.4298,-0.34,-0.19,0,0,0,0,-0.34,0.19,0,0,0,0
2,0.00903614,-0.000183169,3.82691e-05,0.499872,4.39293e-05,-1.76963e-05,8.56502e-06,0.34,-0.19,0,-89.2545,25.2005,139.489,0.34,0.19,0,-48.5361,3.55657,64.6121,-0.348465,-0.186592,0.0258248,0,0,0,-0.353292,0.193951,0.0265417,0,0,0
3,0.0180723,-0.000737393,0.000153985,0.499492,0.000170874,-5.78883e-05,2.85364e-05,0.34,-0.19,0,-93.317,26.1661,143.352,0.34,0.19,0,-49.1544,3.53775,65.2693,-0.353261,-0.18517,0.0474387,0,0,0,-0.359619,0.195817,0.0484758,0,0,0
4,0.0271084,-0.00167488,0.000349615,0.498872,0.000367472,-9.37741e-05,4.43658e-05,0.34,-0.19,0,-99.1199,27.5662,148.979,0.34,0.19,0,-49.9633,3.50636,66.2712,-0.355156,-0.185316,0.0650644,0,0,0,-0.360456,0.196016,0.0660961,0,0,0
5,0.0361446,-0.00301301,0.000628761,0.498029,0.000614115,-9.34127e-05,3.25641e-05,0.34,-0.19,0,-105.965,29.2337,155.694,0.34,0.19,0,-50.8643,3.46619,67.4878,-0.354918,-0.186612,0.0789249,0,0,0,-0.357279,0.194963,0.0796963,0,0,0
6,0.0451807,-0.00477224,0.000995717,0.496985,0.000887354,-2.59962e-05,-3.66266e-05,0.34,-0.19,0,-113.155,31.0013,162.822,0.34,0.19,0,-51.7586,3.42102,68.7888,-0.353315,-0.18864,0.089243,0,0,0,-0.351563,0.193075,0.0895702,0,0,0
7,0.0542169,-0.00697389,0.00145503,0.495761,0.00116231,0.000131929,-0.000197559,0.34,-0.19,0,-119.992,32.7017,169.688,0.34,0.19,0,-52.5477,3.37463,70.0441,-0.351115,-0.190981,0.0962417,0,0,0,-0.344783,0.190769,0.0960113,0,0,0
8,0.063253,-0.00963808,0.00201107,0.494379,0.0014151,0.000390518,-0.000487411,0.34,-0.19,0,-125.778,34.1679,175.616,0.34,0.19,0,-53.133,3.3308,71.1237,-0.349086,-0.193219,0.100144,0,0,0,-0.338413,0.188461,0.0993136,0,0,0
9,0.0722892,-0.0127816,0.00266759,0.492857,0.00162522,0.00074118,-0.000944215,0.34,-0.19,0,-129.814,35.2325,179.931,0.34,0.19,0,-53.4158,3.29332,71.8972,-0.347997,-0.194935,0.101172,0,0,0,-0.33393,0.186568,0.0997706,0,0,0
10,0.0813253,-0.0164156,0.00342725,0.491209,0.00177799,0.00115186,-0.00160458,0.34,-0.19,0,-131.404,35.7283,181.958,0.34,0.19,0,-53.2975,3.26596,72.2347,-0.348614,-0.195712,0.0995498,0,0,0,-0.332809,0.185507,0.0976762,0,0,0
