index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1,x2,y2,z2,fx2,fy2,fz2,x3,y3,z3,fx3,fy3,fz3
1,0,0,0,0.5,0,0,0,0.34,-0.19,0,8.69653,10.0393,119.625,0.34,0.19,0,0,0,0,-0.34,-0.19,0,0,0,0,-0.34,0.19,0,1.23978,-3.94243,126.751
2,0.0405028,0.000238361,9.62299e-05,0.498267,0.00260085,-0.000871728,0.00291512,0.34,-0.19,0,7.15268,6.56694,101.253,0.343706,0.194891,0.0647126,0,0,0,-0.324737,-0.197032,0.0637136,0,0,0,-0.34,0.19,0,-0.503955,-8.05355,108.418
3,0.0810056,0.000833162,0.00010716,0.491721,0.0105481,-0.00245288,0.00689155,0.34,-0.19,0,5.50399,2.84087,81.464,0.33191,0.190819,0.122134,0,0,0,-0.365472,-0.174825,0.117766,0,0,0,-0.34,0.19,0,-2.37556,-12.4821,88.6608
4,0.121508,0.00178509,-0.000353552,0.480133,0.0237542,-0.00390544,0.00618048,0.34,-0.19,0,12.0875,-0.420234,159.994,0.33862,0.200001,0.0995954,0,0,0,-0.336156,-0.193761,0.0955057,0,0,0,-0.34,0.19,0,8.48634,-12.0058,179.438
5,0.162011,0.00388809,-0.00149078,0.471176,0.0407423,-0.0076137,0.00156433,0.34,-0.19,0,20.4012,-4.56509,260.243,0.355476,0.215308,0.0393274,0,0,0,-0.269529,-0.233881,0.037667,0,0,0,-0.34,0.19,0,22.2489,-11.3617,295.116
6,0.202514,0.00794273,-0.00339895,0.472184,0.0596335,-0.015604,-0.00404372,0.34,-0.19,0,12.3955,-2.80667,158.727,0.364704,0.223378,0.00618563,0,0,0,-0.233333,-0.255547,0.00592448,0,0,0,-0.34,0.19,0,13.5798,-6.84043,179.885
7,0.243017,0.0133222,-0.00579994,0.474364,0.0794561,-0.0258698,-0.00928639,0.34,-0.19,0,0.408033,-0.0925034,5.23216,0.366421,0.224879,1.96124e-05,0,0,0,-0.226598,-0.259578,1.88175e-05,0,0,0,-0.34,0.19,0,0.447186,-0.225053,5.92817
8,0.28352,0.0197002,-0.0081158,0.466541,0.100961,-0.040423,-0.0194318,0.345785,-0.19129,0.00700219,0,0,0,0.366427,0.224884,-6.02139e-08,21.9804,8.09266,106.037,-0.226577,-0.259591,-2.44132e-08,59.7321,12.2955,188.265,-0.336607,0.184974,0.00225488,0,0,0
9,0.324022,0.030169,-0.00930665,0.457876,0.130867,-0.0756978,-0.0565738,0.401625,-0.203524,0.074481,0,0,0,0.366427,0.224884,-6.02139e-08,33.8214,16.702,183.942,-0.226577,-0.259591,-2.44132e-08,93.6332,27.239,324.746,-0.303811,0.136649,0.0239175,0,0,0
10,0.364525,0.0454239,-0.00774326,0.456783,0.169864,-0.129261,-0.116424,0.508397,-0.207469,0.193785,0,0,0,0.366427,0.224884,-6.02139e-08,-20.7032,36.0515,116.902,-0.226577,-0.259591,-2.44132e-08,-38.2966,74.2477,187.014,-0.237498,0.0612622,0.0562123,0,0,0
