index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1,x2,y2,z2,fx2,fy2,fz2,x3,y3,z3,fx3,fy3,fz3
1,0,0,0,0.5,0,0,0,0.34,-0.19,0,8.5695,13.3322,95.1022,0.34,0.19,0,0,0,0,-0.34,-0.19,0,0,0,0,-0.34,0.19,0,-1.40961,-3.9854,94.1082
2,0.00903614,9.55643e-06,1.23709e-05,0.499853,0.000162752,-8.54448e-05,0.000204749,0.34,-0.19,0,8.6642,13.4036,94.925,0.341097,0.199049,0.0250558,0,0,0,-0.320538,-0.197617,0.0272311,0,0,0,-0.34,0.19,0,-1.6211,-4.44295,94.0114
3,0.0180723,3.7927e-05,4.84913e-05,0.499413,0.00065979,-0.000338145,0.000802855,0.34,-0.19,0,8.87494,13.5011,95.4919,0.341596,0.203296,0.0463296,0,0,0,-0.311966,-0.200745,0.0490901,0,0,0,-0.34,0.19,0,-2.14919,-5.60007,94.7981
4,0.0271084,8.42854e-05,0.000105602,0.498684,0.00151381,-0.000748024,0.0017494,0.34,-0.19,0,9.171,13.6196,96.6042,0.341609,0.203741,0.0639676,0,0,0,-0.312093,-0.200308,0.0660274,0,0,0,-0.34,0.19,0,-2.90614,-7.26263,96.2275
5,0.0361446,0.00014742,0.000179643,0.497671,0.00275733,-0.00130028,0.00297829,0.34,-0.19,0,9.52165,13.7539,98.0632,0.341249,0.201384,0.0781157,0,0,0,-0.318731,-0.197233,0.0784935,0,0,0,-0.34,0.19,0,-3.80424,-9.23652,98.0586
6,0.0451807,0.000225887,0.000265761,0.496384,0.00442903,-0.00197723,0.00441049,0.34,-0.19,0,9.89618,13.8988,99.6702,0.340628,0.197227,0.08892,0,0,0,-0.329689,-0.192446,0.0869388,0,0,0,-0.34,0.19,0,-4.75577,-11.3276,100.051
7,0.0542169,0.000318164,0.000358817,0.494832,0.00657004,-0.00276012,0.00596236,0.34,-0.19,0,10.2639,14.0491,101.227,0.339859,0.192269,0.0965266,0,0,0,-0.342776,-0.186871,0.0918137,0,0,0,-0.34,0.19,0,-5.673,-13.3418,101.963
8,0.063253,0.0004228,0.000453893,0.493024,0.00922026,-0.00363099,0.00755385,0.34,-0.19,0,10.594,14.1997,102.534,0.339054,0.18751,0.101081,0,0,0,-0.355804,-0.181436,0.0935688,0,0,0,-0.34,0.19,0,-6.46822,-15.085,103.554
9,0.0722892,0.000538573,0.000546798,0.490967,0.0124146,-0.00457451,0.00911654,0.34,-0.19,0,10.8558,14.3453,103.393,0.338326,0.183952,0.102731,0,0,0,-0.366583,-0.177065,0.0926543,0,0,0,-0.34,0.19,0,-7.05371,-16.363,104.584
10,0.0813253,0.00066464,0.000634579,0.488668,0.0161793,-0.00557986,0.0106015,0.34,-0.19,0,11.0186,14.4808,103.605,0.337786,0.182594,0.10162,0,0,0,-0.372922,-0.174685,0.0895209,0,0,0,-0.34,0.19,0,-7.34175,-16.9818,104.811
